ID,Nome,Nome_Origem,Idioma_Origem,Pais_Origem,Popularidade,Nota_Votos,Contagem_Votos
1429,Attack on Titan,進撃の巨人,Japonês,Japão,90.882,8.6,4260
1437,Firefly,Firefly,Inglês,Estados Unidos,31.28,8.3,1553
1438,The Wire,The Wire,Inglês,Estados Unidos,40.677,8.5,1563
1600,Ned's Declassified School Survival Guide,Ned's Declassified School Survival Guide,Inglês,Estados Unidos,35.892,8.6,812
1622,Supernatural,Supernatural,Inglês,Estados Unidos,401.449,8.3,5988
1668,Friends,Friends,Inglês,Estados Unidos,199.203,8.5,5785
1891,Rome,Rome,Inglês,Estados Unidos,29.537,8.3,868
1911,Bones,Bones,Inglês,Estados Unidos,282.72,8.3,2467
1920,Twin Peaks,Twin Peaks,Inglês,Estados Unidos,60.736,8.2,1399
1972,Battlestar Galactica,Battlestar Galactica,Inglês,Multiplos Países,51.467,8.2,1113
1981,Charmed,Charmed,Inglês,Estados Unidos,147.538,8.2,1762
2004,Malcolm in the Middle,Malcolm in the Middle,Inglês,Estados Unidos,161.568,8.5,3102
2038,Drake & Josh,Drake & Josh,Inglês,Estados Unidos,115.975,8.4,1583
2085,Courage the Cowardly Dog,Courage the Cowardly Dog,Inglês,Estados Unidos,67.982,8.2,1133
2098,Batman: The Animated Series,Batman: The Animated Series,Inglês,Estados Unidos,58.396,8.5,1172
2190,South Park,South Park,Inglês,Estados Unidos,246.033,8.3,3005
2288,Prison Break,Prison Break,Inglês,Estados Unidos,188.083,8.1,3711
2309,Danny Phantom,Danny Phantom,Inglês,Estados Unidos,74.933,8.4,894
2316,The Office,The Office,Inglês,Estados Unidos,148.716,8.6,2435
2710,It's Always Sunny in Philadelphia,It's Always Sunny in Philadelphia,Inglês,Estados Unidos,72.307,8.3,729
2723,Samurai Jack,Samurai Jack,Inglês,Estados Unidos,36.807,8.5,535
3570,Sailor Moon,美少女戦士セーラームーン,Japonês,Japão,101.094,8.4,736
3854,The Spectacular Spider-Man,The Spectacular Spider-Man,Inglês,Estados Unidos,43.081,8.7,576
4057,Criminal Minds,Criminal Minds,Inglês,Estados Unidos,375.603,8.3,2935
4087,The X-Files,The X-Files,Inglês,Estados Unidos,117.279,8.4,2276
4194,Star Wars: The Clone Wars,Star Wars: The Clone Wars,Inglês,Estados Unidos,123.591,8.5,1430
4336,Drawn Together,Drawn Together,Inglês,Estados Unidos,72.544,8.3,1044
4500,The Wonder Years,The Wonder Years,Inglês,Estados Unidos,37.646,8.4,773
4604,Smallville,Smallville,Inglês,Estados Unidos,199.906,8.3,3171
4613,Band of Brothers,Band of Brothers,Inglês,Estados Unidos,68.918,8.4,2596
4629,Stargate SG-1,Stargate SG-1,Inglês,Multiplos Países,116.089,8.3,1146
5920,The Mentalist,The Mentalist,Inglês,Estados Unidos,348.766,8.4,2779
6040,Ben 10: Alien Force,Ben 10: Alien Force,Inglês,Estados Unidos,71.714,8.3,875
6357,The Twilight Zone,The Twilight Zone,Inglês,Estados Unidos,28.323,8.5,661
9160,Candy Candy,キャンディ・キャンディ,Japonês,Japão,49.694,8.5,454
12313,Shadow Hunter,Shadow Hunter,Inglês,Canadá,23.932,8.7,874
12609,Dragon Ball,ドラゴンボール,Japonês,Japão,14.626,8.2,2337
12637,Rebelde,Rebelde,Espanhol,México,257.06,8.4,4776
12971,Dragon Ball Z,ドラゴンボールゼット,Japonês,Japão,335.981,8.3,3238
13916,Death Note,DEATH NOTE,Japonês,Japão,139.131,8.7,2835
15260,Adventure Time,Adventure Time,Inglês,Estados Unidos,163.221,8.5,2053
16286,"Yo soy Betty, la fea","Yo soy Betty, la fea",Espanhol,Colômbia,206.657,8.3,2810
16420,Boys Over Flowers,꽃보다 남자,Coreano,Coréia do Sul,106.966,8.3,1492
18165,The Vampire Diaries,The Vampire Diaries,Inglês,Estados Unidos,556.289,8.3,7339
19885,Sherlock,Sherlock,Inglês,"Grã-Bretanha (Reino Unido, UK)",76.355,8.5,3668
21510,White Collar,White Collar,Inglês,Estados Unidos,70.35,8.3,1013
28136,Rurouni Kenshin,るろうに剣心 明治剣客浪漫譚,Japonês,Japão,44.536,8.6,581
30669,Yu Yu Hakusho,幽☆遊☆白書,Japonês,Japão,39.816,8.8,318
30984,Bleach,ブリーチ,Japonês,Japão,178.188,8.4,1182
30991,Cowboy Bebop,カウボーイビバップ,Japonês,Japão,45.947,8.5,1068
31132,Regular Show,Regular Show,Inglês,Estados Unidos,268.71,8.8,1477
31251,Victorious,Victorious,Inglês,Estados Unidos,120.641,8.2,1386
31356,Big Time Rush,Big Time Rush,Inglês,Estados Unidos,56.747,8.8,1431
31724,Code Geass: Lelouch of the Rebellion,コードギアス 反逆のルルーシュ,Japonês,Japão,43.603,8.5,489
31910,Naruto Shippūden,ナルト 疾風伝,Japonês,Japão,267.019,8.6,6878
31911,Fullmetal Alchemist: Brotherhood,鋼の錬金術師 FULLMETAL ALCHEMIST,Japonês,Japão,75.289,8.7,1336
32118,Generator Rex,Generator Rex,Inglês,Estados Unidos,22.408,8.8,267
33217,Young Justice,Young Justice,Inglês,Estados Unidos,82.623,8.5,876
33880,The Legend of Korra,The Legend of Korra,Inglês,Estados Unidos,56.527,8.3,1585
34524,Teen Wolf,Teen Wolf,Inglês,Estados Unidos,224.359,8.6,3270
34742,To Love-Ru,To LOVEる -とらぶる-,Japonês,Japão,42.659,8.7,319
35610,InuYasha,犬夜叉,Japonês,Japão,84.771,8.6,1681
35753,The Familiar of Zero,ゼロの使い魔,Japonês,Japão,49.708,8.7,499
35790,Cardcaptor Sakura,カードキャプターさくら,Japonês,Japão,46.471,8.7,559
37585,Kenichi: The Mightiest Disciple,史上最強の弟子ケンイチ,Japonês,Japão,48.346,8.5,393
37606,The Amazing World of Gumball,The Amazing World of Gumball,Inglês,Multiplos Países,127.824,8.6,1008
37680,Suits,Suits,Inglês,Estados Unidos,489.702,8.2,3549
37854,One Piece,ワンピース,Japonês,Japão,122.929,8.8,3034
39351,Grimm,Grimm,Inglês,Estados Unidos,129.658,8.3,2497
40008,Hannibal,Hannibal,Inglês,Estados Unidos,94.85,8.2,1735
40075,Gravity Falls,Gravity Falls,Inglês,Estados Unidos,169.345,8.5,2027
40143,Shaman King,シャーマンキング,Japonês,Japão,27.706,8.7,320
42009,Black Mirror,Black Mirror,Inglês,"Grã-Bretanha (Reino Unido, UK)",102.682,8.3,3174
42444,Saint Seiya,聖闘士星矢,Japonês,Japão,133.993,8.5,874
42509,Steins;Gate,Steins;Gate,Japonês,Japão,27.142,8.5,461
42573,Slam Dunk,スラムダンク,Japonês,Japão,46.08,8.7,678
42589,Another,アナザー,Japonês,Japão,38.825,8.6,775
42671,Elfen Lied,エルフェンリート,Japonês,Japão,37.281,8.5,985
42705,Fighting Spirit,はじめの一歩,Japonês,Japão,172.693,8.7,674
42916,Toradora!,とらドラ！,Japonês,Japão,23.735,8.5,429
44006,Chicago Fire,Chicago Fire,Inglês,Estados Unidos,235.281,8.5,1743
44217,Vikings,Vikings,Inglês,Canadá,319.464,8.1,5464
45782,Sword Art Online,ソードアート・オンライン,Japonês,Japão,69.807,8.3,1330
45783,Kuroko's Basketball,黒子のバスケ,Japonês,Japão,65.003,8.7,428
45790,JoJo's Bizarre Adventure,ジョジョの奇妙な冒険,Japonês,Japão,72.84,8.8,927
45950,High School DxD,ハイスクールD×D,Japonês,Japão,132.882,8.8,1462
46028,Girl Meets World,Girl Meets World,Inglês,Estados Unidos,35.002,8.4,598
46260,Naruto,ナルト,Japonês,Japão,273.86,8.4,4588
46298,Hunter x Hunter,ハンターｘハンター,Japonês,Japão,191.783,8.8,1127
46648,True Detective,True Detective,Inglês,Estados Unidos,44.748,8.3,2193
46896,The Originals,The Originals,Inglês,Estados Unidos,125.613,8.6,2769
46994,Slugterra,Slugterra,Inglês,Canadá,50.775,8.3,641
48891,Brooklyn Nine-Nine,Brooklyn Nine-Nine,Inglês,Estados Unidos,104.115,8.2,2170
52814,Halo,Halo,Inglês,Estados Unidos,1305.751,8.5,1023
56570,Outlander,Outlander,Inglês,Estados Unidos,119.357,8.2,2096
56998,High School of the Dead,学園黙示録 HIGHSCHOOL OF THE DEAD,Japonês,Japão,27.915,8.4,623
57706,Ranma ½,らんま½,Japonês,Japão,62.636,8.7,1057
58474,Cosmos,Cosmos,Inglês,Estados Unidos,40.854,8.4,1197
58841,Chicago P.D.,Chicago P.D.,Inglês,Estados Unidos,228.125,8.4,1893
60059,Better Call Saul,Better Call Saul,Inglês,Estados Unidos,186.28,8.5,2851
60574,Peaky Blinders,Peaky Blinders,Inglês,"Grã-Bretanha (Reino Unido, UK)",1483.445,8.6,6794
60622,Fargo,Fargo,Inglês,Estados Unidos,81.756,8.3,1848
60625,Rick and Morty,Rick and Morty,Inglês,Estados Unidos,244.639,8.8,6494
60797,Scorpion,Scorpion,Inglês,Estados Unidos,210.184,8.3,3423
60808,No Game No Life,ノーゲーム･ノーライフ,Japonês,Japão,26.338,8.5,465
60863,Haikyu!!,ハイキュー!!,Japonês,Japão,48.526,8.8,963
60957,My Love From Another Star,별에서 온 그대,Coreano,Coréia do Sul,37.054,8.4,659
61175,Steven Universe,Steven Universe,Inglês,Estados Unidos,99.977,8.5,890
61222,BoJack Horseman,BoJack Horseman,Inglês,Estados Unidos,112.431,8.6,1532
61223,Akame ga Kill!,アカメが斬る!,Japonês,Japão,77.649,8.5,737
